id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
151008-v1,151008,1,GWTC-1-marginal,1128348575,https://doi.org/10.7935/82H3-HH23,http://gwosc.org/eventapi/json/GWTC-1-marginal/151008/v1,,,,,,,8.8,,,,,,,,,,,,,,,5.12,,,,,,10.17,,,,,,,,
151012.2-v1,151012.2,1,GWTC-1-marginal,1128666662,https://doi.org/10.7935/82H3-HH23,http://gwosc.org/eventapi/json/GWTC-1-marginal/151012.2/v1,,,,,,,9.6,,,,,,,,,,,,,,,2.01,,,,,,8.56,,,,,,,,
151116-v1,151116,1,GWTC-1-marginal,1131748926,https://doi.org/10.7935/82H3-HH23,http://gwosc.org/eventapi/json/GWTC-1-marginal/151116/v1,,,,,,,9,,,,,,,,,,,,,,,1.24,,,,,,4.77,,,,,,,,
161202-v1,161202,1,GWTC-1-marginal,1164686042,https://doi.org/10.7935/82H3-HH23,http://gwosc.org/eventapi/json/GWTC-1-marginal/161202/v1,,,,,,,10.5,,,,,,,,,,,,,,,1.54,,,,,,6,,,,,,,,
161217-v1,161217,1,GWTC-1-marginal,1165994201,https://doi.org/10.7935/82H3-HH23,http://gwosc.org/eventapi/json/GWTC-1-marginal/161217/v1,,,,,,,10.7,,,,,,,,,,,,,,,7.86,,,,,,10.12,,,,,,,,
170208-v1,170208,1,GWTC-1-marginal,1170585584,https://doi.org/10.7935/82H3-HH23,http://gwosc.org/eventapi/json/GWTC-1-marginal/170208/v1,,,,,,,10,,,,,,,,,,,,,,,7.39,,,,,,11.18,,,,,,,,
170219-v1,170219,1,GWTC-1-marginal,1171548267,https://doi.org/10.7935/82H3-HH23,http://gwosc.org/eventapi/json/GWTC-1-marginal/170219/v1,,,,,,,9.6,,,,,,,,,,,,,,,1.53,,,,,,6.26,,,,,,,,
170405-v1,170405,1,GWTC-1-marginal,1175425511,https://doi.org/10.7935/82H3-HH23,http://gwosc.org/eventapi/json/GWTC-1-marginal/170405/v1,,,,,,,9.3,,,,,,,,,,,,,,,1.44,,,,,,4.55,,,,,,,,
170412-v1,170412,1,GWTC-1-marginal,1176047817,https://doi.org/10.7935/82H3-HH23,http://gwosc.org/eventapi/json/GWTC-1-marginal/170412/v1,,,,,,,9.7,,,,,,,,,,,,,,,4.36,,,,,,8.22,,,,,,,,
170423-v1,170423,1,GWTC-1-marginal,1176984663,https://doi.org/10.7935/82H3-HH23,http://gwosc.org/eventapi/json/GWTC-1-marginal/170423/v1,,,,,,,8.9,,,,,,,,,,,,,,,1.17,,,,,,6.47,,,,,,,,
